Origin,Destination,Price
Angers-St-Laud,Amboise,22.7
La Baule-Escoublac,Amboise,45.0
St-Nazaire,Amboise,43.0
Paris-Austerlitz,Blois,29.4
St-Nazaire,Blois,48.0
La Souterraine,Brive-la-Gaillarde,33.2
Limoges-Bénédictins,Châteauroux,25.5
Paris-Austerlitz,Gourdon,68.0
Les Aubrais-Orléans,La Souterraine,37.5
Paris-Austerlitz,La Souterraine,57.0
Châteauroux,Les Aubrais-Orléans,26.0
Strasbourg-Ville,Nancy-Ville,25.0
Les Aubrais-Orléans,Nantes,45.5
Saumur-Rive-Droite,Nantes,22.9
Châteauroux,Paris-Austerlitz,37.5
La Baule-Escoublac,Paris-Austerlitz,57.0
Limoges-Bénédictins,Paris-Austerlitz,54.0
Paris-Est,Sarrebourg,58.0
Les Aubrais-Orléans,Souillac,56.0
Paris-Austerlitz,St-Nazaire,57.0
Angoulême,St-Pierre-des-Corps,33.5
La Souterraine,Toulouse-Matabiau,38.0
Les Aubrais-Orléans,Toulouse-Matabiau,73.0
Paris-Austerlitz,Toulouse-Matabiau,80.0
Brive-la-Gaillarde,Cahors,20.5
Châteauroux,Cahors,50.0
La Souterraine,Cahors,33.5
Paris-Austerlitz,Cahors,73.0
Toulouse-Matabiau,Cahors,22.0
Bordeaux-St-Jean,Futuroscope,37.9
Châteauroux,Montauban-Ville-Bourbon,57.0
Paris-Austerlitz,Montauban-Ville-Bourbon,76.0
Souillac,Montauban-Ville-Bourbon,76.0
Angers-St-Laud,Paris-Austerlitz,48.7
Brive-la-Gaillarde,Paris-Austerlitz,65.0
Nantes,Paris-Austerlitz,57.8
Lunéville,Paris-Est,53.0
Angoulême,Poitiers,20.2
La Souterraine,Souillac,36.5
La Baule-Escoublac,St-Pierre-des-Corps,43.0
Nantes,St-Pierre-des-Corps,31.6
Paris-Austerlitz,St-Pierre-des-Corps,35.8
Châteauroux,Toulouse-Matabiau,63.0
Paris-Austerlitz,Amboise,33.2
Le Croisic,Blois,48.0
Limoges-Bénédictins,Brive-la-Gaillarde,20.5
Limoges-Bénédictins,Cahors,34.0
Angoulême,Futuroscope,20.2
Paris-Austerlitz,Futuroscope,47.9
La Souterraine,Gourdon,34.2
Les Aubrais-Orléans,Gourdon,43.0
Angers-St-Laud,Les Aubrais-Orléans,34.5
Nancy-Ville,Lunéville,7.4
Paris-Austerlitz,Poitiers,47.9
Paris-Est,Saverne,61.0
Châteauroux,Souillac,25.0
Limoges-Bénédictins,Souillac,48.0
Bordeaux-St-Jean,St-Pierre-des-Corps,49.6
Le Croisic,St-Pierre-des-Corps,43.0
Poitiers,St-Pierre-des-Corps,17.8
Brive-la-Gaillarde,Toulouse-Matabiau,36.0
Le Croisic,Amboise,45.0
Nantes,Amboise,34.2
Angers-St-Laud,Blois,27.5
Les Aubrais-Orléans,Cahors,63.0
Brive-la-Gaillarde,Châteauroux,38.0
Châteauroux,Gourdon,27.5
Limoges-Bénédictins,Gourdon,53.0
Angoulême,Les Aubrais-Orléans,47.3
Brive-la-Gaillarde,Les Aubrais-Orléans,50.0
La Baule-Escoublac,Les Aubrais-Orléans,57.0
Saumur-Rive-Droite,Les Aubrais-Orléans,29.6
La Souterraine,Montauban-Ville-Bourbon,37.9
Les Aubrais-Orléans,Montauban-Ville-Bourbon,68.0
Limoges-Bénédictins,Montauban-Ville-Bourbon,42.0
Angoulême,Paris-Austerlitz,59.5
Les Aubrais-Orléans,Paris-Austerlitz,23.5
Saumur-Rive-Droite,Paris-Austerlitz,43.7
Strasbourg-Ville,Paris-Est,64.0
Bordeaux-St-Jean,Poitiers,37.9
Les Aubrais-Orléans,Poitiers,33.5
Lunéville,Sarrebourg,9.6
Strasbourg-Ville,Sarrebourg,13.5
Lunéville,Saverne,13.8
Nancy-Ville,Saverne,18.0
Strasbourg-Ville,Saverne,9.3
Les Aubrais-Orléans,St-Nazaire,57.0
Futuroscope,St-Pierre-des-Corps,17.8
Les Aubrais-Orléans,St-Pierre-des-Corps,20.4
St-Nazaire,St-Pierre-des-Corps,38.0
Limoges-Bénédictins,Toulouse-Matabiau,49.0
La Baule-Escoublac,Blois,48.0
Nantes,Blois,38.0
Saumur-Rive-Droite,Blois,20.9
Angoulême,Bordeaux-St-Jean,23.5
Les Aubrais-Orléans,Futuroscope,33.5
Bordeaux-St-Jean,Les Aubrais-Orléans,61.3
Le Croisic,Les Aubrais-Orléans,57.0
Limoges-Bénédictins,Les Aubrais-Orléans,41.0
Strasbourg-Ville,Lunéville,20.0
Brive-la-Gaillarde,Montauban-Ville-Bourbon,28.5
Gourdon,Montauban-Ville-Bourbon,29.4
Bordeaux-St-Jean,Paris-Austerlitz,72.0
Le Croisic,Paris-Austerlitz,57.0
Nancy-Ville,Paris-Est,49.0
Nancy-Ville,Sarrebourg,14.8
Sarrebourg,Saverne,5.9
Paris-Austerlitz,Souillac,64.0
Angers-St-Laud,St-Pierre-des-Corps,19.0
Gourdon,Toulouse-Matabiau,31.6
Souillac,Toulouse-Matabiau,80.0
